"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Barbados",6,2016,14,284996,0,6846
"Belize",6,2016,73,366954,0,2707
"Bermuda",6,2016,NA,65331,NA,2826
"Bolivia",6,2016,20,10887882,0,7199
"Bonaire, Saint Eustatius and Saba",6,2016,NA,25000,0,931
"Brazil",6,2016,7291,207652865,0,70749
"Canada",6,2016,NA,36286425,NA,102028
"Cayman Islands",6,2016,19,60765,0,8806
"Chile",6,2016,NA,17909754,NA,12746
"Colombia",6,2016,5805,48653419,2,82857
"Costa Rica",6,2016,259,4857274,0,21974
"Cuba",6,2016,0,11475982,2,30283
"Curacao",6,2016,170,159999,0,4135
"Dominica",6,2016,359,73543,0,343
"Dominican Rep",6,2016,811,10648791,35,48350
"Ecuador",6,2016,1124,16385068,0,17894
"El Salvador",6,2016,285,6344722,0,3902
"French Guiana",6,2016,1213,283000,NA,257
"Grenada",6,2016,106,107317,0,1687
"Guadeloupe",6,2016,9873,450000,0,544
"Guatemala",6,2016,589,16582469,6,10955
"Guyana",6,2016,3,773303,1,4269
"Haiti",6,2016,346,10847334,2,27381
"Honduras",6,2016,3571,9112867,1,13340
"Jamaica",6,2016,1883,2881355,37,34745
"Martinique",6,2016,3457,385000,0,931
"Mexico",6,2016,638,127540423,0,86467
"Nicaragua",6,2016,582,6149928,8,13424
"Panama",6,2016,210,4034119,0,10973
"Paraguay",6,2016,4,6725308,NA,3392
"Peru",6,2016,16,31773839,NA,23744
"Puerto Rico",6,2016,4547,3411307,36,120156
"St Barthelemy",6,2016,133,9278,0,10
"St Kitts-Nevis",6,2016,1,54821,NA,2151
"St Lucia",6,2016,0,178015,1,1698
"St Maarten (Dutch Part)",6,2016,597,40005,NA,4696
"St Vincent-Grenad",6,2016,62,109643,NA,104
"Suriname",6,2016,37,558368,0,1368
"Trinidad-Tobago",6,2016,77,1364962,0,12839
"Turks-Caicos",6,2016,6,34900,NA,6237
"Uruguay",6,2016,NA,3444006,NA,6623
"Venezuela",6,2016,5736,31568179,5,40898
"Virgin Islands (GB)",6,2016,1,30661,0,425
"Virgin Islands (US)",6,2016,90,102951,0,12879
"Anguilla",7,2016,3,15000,0,76
"Antigua-Barbuda",7,2016,38,100963,0,1668
"Argentina",7,2016,7,43847430,NA,58497
"Aruba",7,2016,0,104822,NA,9873
"Bahamas",7,2016,49,391232,0,60307
"Barbados",7,2016,15,284996,0,7898
"Belize",7,2016,105,366954,0,3216
"Bermuda",7,2016,NA,65331,NA,3534
"Bolivia",7,2016,6,10887882,0,6781
"Bonaire, Saint Eustatius and Saba",7,2016,NA,25000,0,971
"Brazil",7,2016,4538,207652865,0,84139
"Canada",7,2016,NA,36286425,NA,136585
"Cayman Islands",7,2016,31,60765,0,13115
"Chile",7,2016,NA,17909754,NA,17663
"Colombia",7,2016,3551,48653419,4,80296
"Costa Rica",7,2016,737,4857274,0,27227
"Cuba",7,2016,2,11475982,0,48932
"Curacao",7,2016,180,159999,0,7279
"Dominica",7,2016,251,73543,1,388
"Dominican Rep",7,2016,225,10648791,41,58448
